DrugBankID	DrugName
DB01227	Levomethadyl Acetate
DB01228	Encainide
DB01229	paclitaxel
DB01230	Pemoline
DB01231	diphenidol
DB01232	saquinavir
DB01233	Metoclopramide
DB01234	dexamethasone sodium phosphate
DB01235	levodopa
DB01236	sevoflurane
DB01237	Bromodiphenhydramine
DB01238	aripiprazole
DB01239	chlorprothixene
DB01240	prostacyclin
DB01241	gemfibrozil
DB01242	Clomipramine
DB01243	Chloroxine
DB01244	bepridil
DB01245	Decamethonium
DB01246	Vallergan
DB01247	Isocarboxazid
DB01248	docetaxel
DB01249	iodixanol
DB01250	olsalazine
DB01251	gliquidone
DB01252	KAD-1229
DB01253	Ergonovine
DB01254	dasatinib
DB01255	Lisdexamfetamine
DB01256	retapamulin
DB01257	Eculizumab
DB01258	aliskiren
DB01259	lapatinib
DB01260	desonide
DB01261	sitagliptin
DB01262	Decitabine
DB01263	posaconazole
DB01264	TMC114
DB01265	Telbivudine
DB01266	Sinecatechins
DB01267	paliperidone
DB01268	Sunitinib
DB01269	Panitumumab
DB01270	Ranibizumab
DB01271	Idursulfase
DB01272	Alglucosidase alfa
DB01273	varenicline
DB01274	Arformoterol
DB01275	hydralazine
DB01277	Mecasermin
DB01278	Pramlintide
DB01279	Galsulfase
DB01280	nelarabine
DB01281	Abatacept
DB01282	Carbetocin
DB01283	Lumiracoxib
DB01285	Corticotropin
DB01287	Dihydroergotoxine
DB01288	fenoterol
DB01289	Glisoxepide
DB01291	pirbuterol
DB01294	bismuth subsalicylate
DB01295	Bevantolol
DB01296	Glucosamine
DB01297	Practolol
DB01299	Sulfadoxine
DB01301	Rolitetracycline
DB01303	Oxtriphylline
DB01306	Insulin Aspart
DB01307	Insulin Detemir
DB01309	Insulin Glulisine
DB01319	fosamprenavir
DB01320	fosphenytoin
DB01321	Josamycin
DB01324	polythiazide
DB01325	Quinethazone
DB01326	Cefamandole
DB01327	cefazolin
DB01328	Cefonicid
DB01329	Cefoperazone
DB01330	cefotetan
DB01331	cefoxitin
DB01332	ceftizoxime
DB01333	Cephradine
DB01336	Metocurine
DB01337	pancuronium
DB01338	Pipecuronium
DB01339	vecuronium
DB01340	cilazapril
DB01344	Polystyrene sulfonate
DB01346	Quinidine barbiturate
DB01348	Spirapril
DB01349	Tasosartan
DB01351	Amobarbital
DB01352	Aprobarbital
DB01353	Butethal
DB01354	Heptabarbital
DB01355	Hexobarbital
DB01356	lithium
DB01357	Mestranol
DB01359	Penbutolol
DB01361	Troleandomycin
DB01362	iohexol
DB01363	Ephedra sinica root
DB01364	ephedrine
DB01365	Mephentermine
DB01366	procaterol
DB01367	rasagiline
DB01369	Quinupristin
DB01370	Aluminium
DB01373	Calcium
DB01375	Aluminium monostearate
DB01377	Magnesium oxide
DB01378	magnesium
DB01380	cortisone acetate
DB01381	Ginkgo biloba
DB01382	Glycodiazine
DB01384	Paramethasone
DB01388	Mibefradil
DB01390	sodium bicarbonate
DB01392	Yohimbine
DB01393	bezafibrate
DB01394	Colchicine
DB01395	Drospirenone
DB01396	digitoxin
DB01397	Magnesium salicylate
DB01399	salsalate
DB01400	neostigmine
DB01401	Choline magnesium trisalicylate
DB01403	levomepromazine
DB01404	Ginseng
DB01406	danazol
DB01407	clenbuterol
DB01408	Bambuterol
DB01409	tiotropium
DB01410	ciclesonide
DB01411	pranlukast
DB01412	Theobromine
DB01413	cefepime
DB01415	Ceftibuten
DB01416	cefpodoxime proxetil
DB01418	acenocoumarol
DB01419	Antrafenine
DB01420	Testosterone Propionate
DB01421	paromomycin
DB01422	Nitroxoline
DB01424	Aminopyrine
DB01425	alizapride
DB01426	Ajmaline
DB01427	amrinone
DB01429	Aprindine
DB01430	Almitrine
DB01431	Allylestrenol
DB01432	Cholestyramine
DB01433	Methadyl Acetate
DB01435	Antipyrine
DB01436	alfacalcidol
DB01437	Glutethimide
DB01438	phenazopyridine
DB01439	3-Methylthiofentanyl
DB01440	Sodium Oxybate
DB01442	MMDA
DB01444	Dimethylthiambutene
DB01445	Bufotenine
DB01446	Indopan
DB01452	heroin
DB01454	MDMA
DB01460	Diethyltryptamine
DB01462	Etonitazene
DB01465	2,5-Dimethoxyamphetamine
DB01466	Ethylmorphine
DB01472	4-Methoxyamphetamine
DB01483	Barbital
DB01484	4-Bromo-2,5-dimethoxyamphetamine
DB01488	Dimethyltryptamine
DB01490	Aminorex
DB01496	Barbituric acid derivative
DB01497	Etorphine
DB01501	Difenoxin
DB01509	Tenamfetamine
DB01516	3,4,5-Trimethoxyamphetamine
DB01520	Tenocyclidine
DB01528	4-Methyl-2,5-dimethoxyamphetamine
DB01529	Dextromoramide
DB01535	Carfentanil
DB01536	Androstenedione
DB01537	4-Bromo-2,5-dimethoxyphenethylamine
DB01544	flunitrazepam
DB01545	ethyl loflazepate
DB01548	Diprenorphine
DB01549	Rolicyclidine
DB01550	Fenproporex
DB01551	dihydrocodeine
DB01553	cloxazolam
DB01556	Chlorphentermine
DB01558	bromazepam
DB01559	Clotiazepam
DB01563	chloral hydrate
DB01565	Dihydromorphine
DB01567	Fludiazepam
DB01571	3-Methylfentanyl
DB01576	Dextroamphetamine
DB01577	Methamphetamine
DB01578	Metrizamide
DB01579	Phendimetrazine
DB01580	Oxprenolol
DB01581	Sulfamerazine
DB01582	Sulfamethazine
DB01583	Liotrix
DB01586	ursodeoxycholic acid
DB01587	Ketazolam
DB01588	prazepam
DB01589	quazepam
DB01590	everolimus
DB01591	solifenacin succinate
DB01592	Iron
DB01593	zinc
DB01594	Cinolazepam
DB01595	nitrazepam
DB01597	Cilastatin
DB01598	imipenem
DB01599	Probucol
DB01600	tiaprofenic acid
DB01601	lopinavir
DB01602	Bacampicillin
DB01603	Meticillin
DB01604	Pivampicillin
DB01605	Amdinocillin Pivoxil
DB01606	tazobactam
DB01607	ticarcillin
DB01608	propericiazine
DB01609	deferasirox
DB01610	valganciclovir
DB01611	hydroxychloroquine
DB01612	amyl nitrite
DB01614	Acepromazine
DB01615	mepronizine
DB01616	Alverine
DB01618	Molindone
DB01619	Phenindamine
DB01620	pheniramine
DB01621	Pipotiazine
DB01622	Thioproperazine
DB01623	thiothixene
DB01624	zuclopenthixol
DB01625	Isopropamide
DB01626	Pargyline
DB01627	lincomycin
DB01628	etoricoxib
DB01631	Methyl Nonanoate (Ester)
DB01632	5-O-phosphono-alpha-D-ribofuranosyl diphosphate
DB01643	Thymidine monophosphate
DB01645	Genistein
DB01649	7-methyl-GpppA
DB01650	trans-2-hydroxycinnamic acid
DB01656	Roflumilast
DB01676	Trinitrotoluene
DB01686	N,N-dimethylarginine
DB01694	D-tartaric acid
DB01698	Rutin
DB01708	Dehydroepiandrosterone
DB01727	Isocitric Acid
DB01744	Camphor
DB01752	S-adenosyl-L-homocysteine
DB01759	Kojic acid
DB01761	4-[5-[2-(1-Phenyl-Ethylamino)-Pyrimidin-4-Yl]-1-Methyl-4-(3-Trifluoromethylphenyl)-1h-Imidazol-2-Yl]-Piperidine
DB01764	Dalfopristin
DB01765	(5-Oxo-5,6-Dihydro-Indolo[1,2-a]Quinazolin-7-Yl)-Acetic Acid
DB01766	Beta-(2-Naphthyl)-Alanine
DB01767	Hemi-Babim
DB01776	M-Cresol
DB01782	Pyrazolanthrone
DB01785	Dimethylallyl Diphosphate
DB01791	Piclamilast
DB01795	Phenyl Boronic Acid
DB01796	Quinolinic Acid
DB01805	Monoisopropylphosphorylserine
DB01809	1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine
DB01812	Adenosine-3'-5'-Diphosphate
DB01819	Phosphoenolpyruvate
DB01821	L-N(omega)-Nitroarginine-2,4-L-diaminobutyric amide
DB01834	(9R,10R)-9-(S-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene
DB01836	[4-(6-Chloro-Naphthalene-2-Sulfonyl)-Piperazin-1-Yl]-(3,4,5,6-Tetrahydro-2h-[1,4']Bipyridinyl-4-Yl)-Methanone
DB01839	Propylene glycol
DB01844	Dimethylformamide
DB01852	Kaempherol
DB01858	[1-(4-Fluorobenzyl)Cyclobutyl]Methyl (1s)-1-[Oxo(1h-Pyrazol-5-Ylamino)Acetyl]Pentylcarbamate
DB01861	Uridine diphosphate glucose
DB01863	Inositol 1,3,4,5-Tetrakisphosphate
DB01864	5'-Guanosine-Diphosphate-Monothiophosphate
DB01873	Epothilone D
DB01880	3,4-Dihydroxycinnamic Acid
DB01884	2-Amino-3-Methyl-1-Pyrrolidin-1-Yl-Butan-1-One
DB01890	N,N-Bis(3-(D-gluconamido)propyl)deoxycholamide
DB01892	Hyperforin
DB01900	Toluene
DB01905	2-(2-Hydroxy-5-Methoxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine
DB01915	S-Hydroxycysteine
DB01917	Putrescine
DB01924	Benzhydroxamic Acid
DB01929	5-Chloryl-2,4,6-Quinazolinetriamine
DB01941	LG-100268
DB01942	Formic acid
DB01946	Bisindolylmaleimide VIII
DB01954	Rolipram
DB01955	1,4-Butanediol
DB01958	5-[4-Tert-Butylphenylsulfanyl]-2,4-Quinazolinediamine
DB01959	3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester
DB01960	7-methyl-7,8-dihydroguanosine-5'-diphosphate
DB01962	Phosphonotyrosine
DB01972	Guanosine-5'-Monophosphate
DB01977	6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine
DB01992	Coenzyme A
DB01996	3-Methylpyridine
DB01997	3-Bromo-7-Nitroindazole
DB02001	5-(4-Morpholin-4-Yl-Phenylsulfanyl)-2,4-Quinazolinediamine
DB02007	alpha-D-glucose 6-phosphate
DB02010	Staurosporine
DB02015	Dihydrofolic Acid
DB02018	Amido Phenyl Pyruvic Acid
DB02027	N-{(4S)-4-Amino-5-[(2-aminoethyl)amino]pentyl}-N'-nitroguanidine
DB02044	N-[3-(aminomethyl)benzyl]acetamidine
DB02049	2-{4-[4-(4-Chloro-Phenoxy)-Benzenesulfonyl]-Tetrahydro-Pyran-4-Yl}-N-Hydroxy-Acetamide
DB02052	Indirubin-3'-monoxime
DB02054	Gabaculine
DB02056	Prostaglandin D2
DB02057	(S)-AMPA
DB02058	3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone
DB02059	Adenosine-5-Diphosphoribose
DB02062	N-[3-[(1-Aminoethyl)(Hydroxy)Phosphoryl]-2-(1,1'-Biphenyl-4-Ylmethyl)Propanoyl]Alanine
DB02068	Delta-Amino Valeric Acid
DB02071	WAY-151693
DB02073	Biliverdine IX Alpha
DB02076	6-phospho-D-gluconic acid
DB02077	L-N(omega)-nitroarginine-(4R)-amino-L-proline amide
DB02078	Triglyme
DB02091	4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine
DB02095	Isatin
DB02097	Cytidine
DB02098	Adenosine-2'-5'-Diphosphate
DB02109	Hadacidin
DB02110	Protoporphyrin Ix Containing Co
DB02112	Zk-806450
DB02115	Daidzin
DB02116	Olomoucine
DB02123	Glycochenodeoxycholic Acid
DB02126	4-Carboxycinnamic Acid
DB02132	Zenarestat
DB02134	Xanthine
DB02139	(2e)-N-Allyl-4-{[3-(4-Bromophenyl)-5-Fluoro-1-Methyl-1h-Indazol-6-Yl]Oxy}-N-Methyl-2-Buten-1-Amine
DB02141	S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea
DB02142	Pyridoxamine-5'-Phosphate
DB02152	K-252a
DB02153	3-sulfino-L-alanine
DB02175	Malonic acid
DB02180	Myristoyl-Coa
DB02187	Equilin
DB02196	Uridine-Diphosphate-N-Acetylgalactosamine
DB02197	4-[(4-Imidazo[1,2-a]Pyridin-3-Ylpyrimidin-2-Yl)Amino]Benzenesulfonamide
DB02207	7-Nitroindazole
DB02210	Hexane-1,6-Diol
DB02211	N-Methyl-N-Propargyl-1(R)-Aminoindan
DB02216	S-Methylcysteine
DB02234	S-Ethylisothiourea
DB02235	L-methionine (R)-S-oxide
DB02255	GM6001
DB02258	SR11254
DB02261	Platelet Activating Factor
DB02264	O2-Sulfo-Glucuronic Acid
DB02266	Flufenamic Acid
DB02267	Argininosuccinate
DB02269	[4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium
DB02272	Porphobilinogen
DB02287	2-(2-Hydroxy-Phenyl)-3h-Benzoimidazole-5-Carboxamidine
DB02292	Irosustat
DB02300	calcipotriol
DB02309	5-monophosphate-9-beta-D-ribofuranosyl xanthine
DB02315	Cyclic GMP
DB02320	N-beta-D-glucopyranosylacetamide
DB02329	Carbenoxolone
DB02333	Deoxyuridine-5'-Triphosphate
DB02335	2-Aminothiazoline
DB02338	Nadph Dihydro-Nicotinamide-Adenine-Dinucleotidephosphate
DB02339	Allyl-{6-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-Hexyl-}-Methyl-Amin
DB02341	Mdl 101,146
DB02343	3,6,9,12,15-Pentaoxaheptadecane
DB02350	N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide
DB02352	3-(Benzyloxy)Pyridin-2-Amine
DB02354	4-{[1-Methyl-5-(2-Methyl-Benzoimidazol-1-Ylmethyl)-1h-Benzoimidazol-2-Ylmethyl]-Amino}-Benzamidine
DB02362	Aminobenzoic acid
DB02363	2'-Monophosphoadenosine-5'-Diphosphate
DB02365	1,10-Phenanthroline
DB02366	CRA_10762
DB02367	(1n)-4-N-Butoxyphenylsulfonyl-(2r)-N-Hydroxycarboxamido-(4s)-Methanesulfonylamino-Pyrrolidine
DB02375	Myricetin
DB02377	Guanine
DB02379	Beta-D-Glucose
DB02383	Tolrestat
DB02385	Neopterin
DB02388	Cyclohexyl-{4-[5-(3,4-Dichlorophenyl)-2-Piperidin-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine
DB02398	6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine
DB02402	5-(4-Methoxyphenoxy)-2,4-Quinazolinediamine
DB02407	6-O-Cyclohexylmethyl Guanine
DB02424	Geldanamycin
DB02431	Cytidine-5'-Triphosphate
DB02448	N-Tridecanoic Acid
DB02458	S-(2,4-dinitrophenyl)glutathione
DB02459	4-guanidinobenzoic acid
DB02463	2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine
DB02471	Nojirimycine Tetrazole
DB02473	6-[N-(1-Isopropyl-3,4-Dihydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine
DB02475	Deoxyamidinoproclavaminic acid
DB02481	N-Benzylformamide
DB02482	Phosphonothreonine
DB02483	Etheno-NAD
DB02491	4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine
DB02494	Alpha-Hydroxy-Beta-Phenyl-Propionic Acid
DB02504	[3-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Propyl-]-Phosphonic Acid
DB02506	2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid
DB02515	3-Phosphoglycerol
DB02517	D-Glutamic Acid
DB02519	Indirubin-5-sulphonate
DB02526	CRA_10655
DB02527	Cyclic AMP
DB02530	gamma-Aminobutyric acid
DB02538	N-[4-(2-Methylimidazo[1,2-a]Pyridin-3-Yl)-2-Pyrimidinyl]Acetamide
DB02544	N-(6-{[3-(4-Bromophenyl)-1,2-Benzisothiazol-6-Yl]Oxy}Hexyl)-N-Methylprop-2-En-1-Amine
DB02546	suberoylanilide hydroxamic acid
DB02550	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB02552	Geranyl Diphosphate
DB02556	D-Phenylalanine
DB02567	PD173955
DB02580	Pentaglyme
DB02586	4,7-Dimethyl-[1,10]Phenanthroline
DB02587	Forskolin
DB02596	Alpha,Beta-Methyleneadenosine-5'-Triphosphate
DB02597	[2(R,S)-2-Sulfanylheptanoyl]-Phe-Ala
DB02613	Decylamine-N,N-Dimethyl-N-Oxide
DB02615	Compound 19
DB02621	Latrunculin A
DB02633	Cibacron Blue
DB02638	Terlipressin
DB02639	4-methylumbelliferyl 娴?D-glucoside
DB02643	N-Dodecyl-N,N-Dimethyl-3-Ammonio-1-Propanesulfonate
DB02644	N-omega-propyl-L-arginine
DB02648	(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium
DB02656	LY-294002
DB02659	Cholic Acid
DB02660	Filaminast
DB02665	(1R,2S)-2-Phenylcyclopropanaminium
DB02679	Cyanamide
DB02697	Hydroxyaminovaline
DB02701	nicotinamide
DB02703	fusidic acid
DB02709	Resveratrol
DB02712	Sorbinil
DB02721	4-Iodopyrazole
DB02726	2-Phosphoglycolic Acid
DB02731	Thimerosal
DB02733	Purvalanol
DB02740	3-Indolebutyric Acid
DB02741	CD564
DB02742	Kifunensine
DB02744	RPR131247
DB02745	Uridine
DB02754	9-Butyl-8-(3,4,5-Trimethoxybenzyl)-9h-Purin-6-Amine
DB02761	S-Mercaptocysteine
DB02763	5-Mercapto-2-Nitro-Benzoic Acid
DB02767	3-Hydroxy-Myristic Acid
DB02772	Sucrose
DB02789	Pregnenolone
DB02795	P-Anisic Acid
DB02818	Iodo-Willardiine
DB02824	N-Pyridoxyl-Glycine-5-Monophosphate
DB02827	7-(1,1-Dioxo-1h-Benzo[D]Isothiazol-3-Yloxymethyl)-2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid
DB02833	[4-(2-Amino-4-Methyl-Thiazol-5-Yl)-Pyrimidin-2-Yl]-(3-Nitro-Phenyl)-Amine
DB02836	Guanosine 5'-diphosphate 2':3'-cyclic monophosphate
DB02839	2,4-Dihydroxybenzoic Acid
DB02840	4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid
DB02845	Methylphosphinic Acid
DB02848	{4-[3-(6,7-Diethoxy-Quinazolin-4-Ylamino)-Phenyl]-Thiazol-2-Yl}-Methanol
DB02854	Aetiocholanolone
DB02869	3-amino-5-phenylpentane
DB02873	1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperazin-1-Yl-3,4-Dihydroquinazolin-2(1h)-One
DB02877	Arotinoid acid
DB02897	Acetylphosphate
DB02901	Dihydrotestosterone
DB02910	Octanoyl-Coenzyme A
DB02915	4-(2,4-Dimethyl-1,3-thiazol-5-yl)-N-[4-(trifluoromethyl)phenyl]-2-pyrimidinamine
DB02918	Zardaverine
DB02925	piretanide
DB02930	Adenosine 5'-[缁?thio]triphosphate
DB02950	Hymenialdisine
DB02952	Alpha-Aminoisobutyric Acid
DB02966	Fluoro-Willardiine
DB02983	Para-Mercury-Benzenesulfonic Acid
DB02984	4-[3-Methylsulfanylanilino]-6,7-Dimethoxyquinazoline
DB02994	Cacodylic acid
DB02998	Metribolone
DB02999	Quisqualate
DB03003	Glutathione sulfonic acid
DB03010	Patupilone
DB03014	Heme
DB03023	1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine
DB03026	Phosphoglycolohydroxamic Acid
DB03033	4-methoxybenzenesulfinate
DB03040	Nitrilotriacetic Acid
DB03041	UDP-alpha-D-glucuronic acid
DB03044	Doramapimod
DB03046	7-Methoxy-8-[1-(Methylsulfonyl)-1h-Pyrazol-4-Yl]Naphthalene-2-Carboximidamide
DB03052	Dazoxiben
DB03056	4-Piperidino-Piperidine
DB03059	Acetoacetyl-CoA
DB03067	4-{2,4-Bis[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid
DB03082	6-[(Z)-Amino(Imino)Methyl]-N-[4-(Aminomethyl)Phenyl]-4-(Pyrimidin-2-Ylamino)-2-Naphthamide
DB03083	IC261
DB03084	Cyclopropyl-{4-[5-(3,4-Dichlorophenyl)-2-[(1-Methyl)-Piperidin]-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine
DB03088	Pidolic acid
DB03092	5-Hydroxymethyl-Chonduritol
DB03100	6-Nitroindazole
DB03106	scyllo-inositol
DB03109	2-acetylamino-2-deoxy-b-D-allopyranose
DB03127	Benzamidine
DB03128	Acetylcholine
DB03136	4-Iodobenzo[B]Thiophene-2-Carboxamidine
DB03144	N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine
DB03147	Flavin-Adenine Dinucleotide
DB03148	Phosphomethylphosphonic Acid Adenosyl Ester
DB03152	B-2-Octylglucoside
DB03159	CRA_8696
DB03162	4-oxo-4,5-dihydro-1,2,5-thiadiazole-3-carboxylic acid
DB03166	Acetic Acid
DB03173	CRA_10433
DB03176	KB-141
DB03203	Sphingosine
DB03209	Oteracil
DB03226	Trifluoroethanol
DB03227	Nicotinamide Mononucleotide
DB03234	(4'-{[Allyl(Methyl)Amino]Methyl}-1,1'-Biphenyl-4-Yl)(4-Bromophenyl)Methanone
DB03247	Flavin mononucleotide
DB03255	Phenol
DB03260	1,6-Diaminohexane
DB03262	Al-6619, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Hydroxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]
DB03297	Benzylsulfinic Acid
DB03310	Glutathione disulfide
DB03314	5-fluorotryptophan
DB03316	1,4-Diethylene Dioxide
DB03317	Ferroheme C
DB03322	Dexpropranolol
DB03338	Heptyl-Beta-D-Glucopyranoside
DB03345	Mercaptoethanol
DB03349	8-Bromo-Adenosine-5'-Monophosphate
DB03352	S-Arsonocysteine
DB03365	4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline
DB03367	PF-00356231
DB03368	5-Methyl-5-(4-Phenoxy-Phenyl)-Pyrimidine-2,4,6-Trione
DB03374	3,5-Diiodotyrosine
DB03380	L-tyrosinamide
DB03382	S-oxy-L-cysteine
DB03383	CP-320626
DB03385	4-Methylimidazole
DB03389	alpha-D-Xylopyranose
DB03397	Uridine-Diphosphate-N-Acetylglucosamine
DB03401	1D-myo-inositol 1,4,5-trisphosphate
DB03403	Cytidine-5'-Monophosphate
DB03404	Hemin
DB03413	Deoxyuridine-5'-Diphosphate
DB03419	Uracil
DB03428	SU9516
DB03435	Uridine-5'-Diphosphate
DB03439	4,6-dideoxy-4-amino-alpha-D-glucose
DB03444	6-bromoindirubin-3'-oxime
DB03448	2'-Deoxyuridine 3'-Monophosphate
DB03449	N-(4-{2-[(3-chlorobenzyl)amino]ethyl}phenyl)thiophene-2-carboximidamide
DB03461	Nicotinamide adenine dinucleotide phosphate
DB03466	BMS184394
DB03467	Naringenin
DB03468	1,2,3,4-Tetrahydro-Isoquinoline-7-Sulfonic Acid Amide
DB03490	3-Pyridin-4-Yl-2,4-Dihydro-Indeno[1,2-.C.]Pyrazole
DB03496	Alvocidib
DB03499	Malate Ion
DB03501	Galactose-uridine-5'-diphosphate
DB03510	6-O-Phosphoryl Inosine Monophosphate
DB03535	Z-Pro-Prolinal
DB03541	10-Propargyl-5,8-Dideazafolic Acid
DB03559	Cyclohexylformamide
DB03566	Spermidine
DB03575	Phencyclidine
DB03585	Oxyphenbutazone
DB03597	gamma-Glutamyl[S-(2-iodobenzyl)cysteinyl]glycine
DB03598	Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]
DB03600	Capric acid
DB03602	S-benzylglutathione
DB03606	(S)-Rolipram
DB03608	Diminazene
DB03615	Ribostamycin
DB03619	Deoxycholic Acid
DB03633	Lpc-Ether
DB03643	CRA_1144
DB03644	3-Hydroxyanthranilic Acid
DB03649	[{(5-Chloro-2-Pyridinyl)Amino} Methylene]-1,1-Bisphosphonate
DB03660	4-Iodo-L-phenylalanine
DB03661	Cysteinesulfonic Acid
DB03670	2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid
DB03680	Tartronate
DB03685	Uridine monophosphate
DB03693	N-(2-Aminoethyl)-5-Chloroisoquinoline-8-Sulfonamide
DB03707	S-Ethyl-N-Phenyl-Isothiourea
DB03721	N-acetyl-alpha-neuraminic acid
DB03728	p-Chlorobenzoic acid
DB03731	S-2-(Boronoethyl)-L-Cysteine
DB03740	N-acetyl-alpha-D-glucosamine
DB03747	N-Acetyl-glucosamine thiazoline
DB03748	Methyl-[4-(4-Piperidine-1-Ylmethyl-Phenyl)-Cyclohexyl]-Carbaminic Acid-(4-Chlorophenyl)-Ester
DB03749	4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole
DB03754	Tromethamine
DB03758	Radicicol
DB03759	FG-9041
DB03760	Dihydrolipoic Acid
DB03766	Propanoic acid
DB03771	Allyl-{4-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-but-2-Enyl}-Methyl-Amine
DB03773	alpha-D-quinovopyranose
DB03777	Rbt205 Inhibitor
DB03783	Phenacetin
DB03785	Mevinolinic acid
DB03793	Benzoic Acid
DB03796	Palmitic Acid
DB03800	Deoxyuridine monophosphate
DB03801	Lysine Nz-Carboxylic Acid
DB03808	Hexamidine
DB03811	Histidinol
DB03814	2-(N-Morpholino)-Ethanesulfonic Acid
DB03837	Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide
DB03843	Formaldehyde
DB03847	Gamma-Carboxy-Glutamic Acid
DB03849	Cilomilast
DB03851	Carbazole Butanoic Acid
DB03854	Pentane-1,5-Diamine
DB03861	(2R,3R,4S,5R)-2-acetamido-3,4-dihydroxy-5-hydroxymethyl-piperidine
DB03865	6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine
DB03876	Thieno[2,3-B]Pyridine-2-Carboxamidine
DB03880	Batimastat
DB03884	Phenylpyruvic acid
DB03886	Biopterin
DB03888	N-Allyl-6-{[3-(4-bromophenyl)-1-methyl-1H-indazol-6-yl]oxy}-N-methyl-1-hexanamine
DB03900	tert-butanol
DB03902	Oxalic Acid
DB03904	Urea
DB03909	Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate
DB03910	S,S'-(1,3-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea
DB03921	4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline
DB03925	Freselestat
DB03929	D-Serine
DB03940	Oxamic Acid
DB03946	3,4-Dihydroxybenzoic Acid
DB03948	6-Chloropurine Riboside, 5'-Monophosphate
DB03958	7-methyl-guanosine-5'-triphosphate-5'-guanosine
DB03959	N,O6-Disulfo-Glucosamine
DB03963	S-(Dimethylarsenic)Cysteine
DB03975	Mercuribenzoic Acid
DB03976	Phosphorylisopropane
DB03977	N-Trimethyllysine
DB03978	Tyrosinal
DB03981	1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid
DB03991	2-deoxy-2,3-dehydro-N-acetylneuraminic acid
DB04000	Bromo-Willardiine
DB04001	6-(Oxalyl-Amino)-1h-Indole-5-Carboxylic Acid
DB04006	[2-Amino-6-(2,6-Difluoro-Benzoyl)-Imidazo[1,2-a]Pyridin-3-Yl]-Phenyl-Methanone
DB04014	Alsterpaullone
