Disease_UMLSID	MeSH Disease Terms 
C0021051	Immunologic Deficiency Syndromes
C0021053	Immune System Diseases
C0021092	Impacted cerumen
C0021099	Impetigo
C0021114	Implosive Therapy
C0021116	Impotence
C0021122	Impulse Control Disorders
C0021141	Inappropriate ADH Syndrome
C0021290	Infant, Newborn, Diseases
C0021295	Infant, Premature, Diseases
C0021311	Infection
C0021345	Infectious Mononucleosis
C0021355	Infective otitis externa
C0021359	Infertility
C0021361	Infertility, Female
C0021364	Infertility, Male
C0021368	Inflammation
C0021390	Inflammatory Bowel Diseases
C0021400	Influenza, Human
C0021467	Inhibition (Psychology)
C0021603	Sleep Initiation and Maintenance Disorders
C0021655	Insulin Resistance
C0021670	Insulinoma
C0021705	Intelligence Tests
C0021775	Intermittent Claudication
C0021818	Intervertebral Disk Displacement
C0021819	Interview, Psychological
C0021831	Intestinal Diseases
C0021833	Intestinal Fistula
C0021841	Intestinal Neoplasms
C0021843	Intestinal Obstruction
C0021846	Intestinal Polyps
C0021847	Intestinal Pseudo-Obstruction
C0021890	Intraoperative Complications
C0021933	Intussusception
C0021943	Inversion, Chromosome
C0022073	Iridocyclitis
C0022081	Iritis
C0022104	Irritable Bowel Syndrome
C0022116	Ischemia
C0022281	Itching of eye
C0022336	Creutzfeldt-Jakob Syndrome
C0022346	Jaundice
C0022353	Jaundice, Neonatal
C0022354	Jaundice, Obstructive
C0022360	Jaw Abnormalities
C0022364	Jaw Neoplasms
C0022366	Jaw, Edentulous
C0022374	Jejunal Neoplasms
C0022387	Jervell-Lange Nielsen Syndrome
C0022398	Job's Syndrome
C0022408	Joint Diseases
C0022410	Joint Instability
C0022423	Judgment
C0022548	Keloid
C0022568	Keratitis
C0022570	Keratitis, Dendritic
C0022573	Keratoconjunctivitis
C0022575	Keratoconjunctivitis Sicca
C0022577	Keratoconjunctivitis, Vernal
C0022578	Keratoconus
C0022593	Keratosis
C0022602	Keratosis, Actinic
C0022610	Kernicterus
C0022638	Ketosis
C0022650	Kidney Calculi
C0022658	Kidney Diseases
C0022660	Kidney Failure, Acute
C0022661	Kidney Failure, Chronic
C0022665	Kidney Neoplasms
C0022680	Polycystic Kidney Diseases
C0022729	Klebsiella Infections
C0022735	Klinefelter Syndrome
C0022744	Knee Injuries
C0022754	Knowledge of Results (Psychology)
C0022783	Vulvar Lichen Sclerosus
C0022802	Kuru
C0022865	Obstetric Labor Complications
C0022876	Obstetric Labor, Premature
C0022951	Lactose Intolerance
C0022972	Lambert-Eaton Myasthenic Syndrome
C0023014	Language Development Disorders
C0023015	Language Disorders
C0023016	Language Tests
C0023051	Laryngeal Diseases
C0023052	Laryngeal Edema
C0023055	Laryngeal Neoplasms
C0023176	Lead Poisoning
C0023186	Learning Disorders
C0023219	Leg Dermatoses
C0023234	Legg-Perthes Disease
C0023241	Legionnaires' Disease
C0023264	Leigh Disease
C0023267	Leiomyoma
C0023269	leiomyosarcoma
C0023281	Leishmaniasis
C0023283	Leishmaniasis, Cutaneous
C0023290	Leishmaniasis, Visceral
C0023343	Leprosy
C0023348	Leprosy, Lepromatous
C0023351	Leprosy, Tuberculoid
C0023364	Leptospirosis
C0023381	Letterer-Siwe Disease
C0023418	Leukemia
C0023434	Chronic Lymphocytic Leukemia
C0023435	Leukemia, B-Cell, Acute
C0023436	Leukemia, B-Cell, Chronic
C0023440	Leukemia, Erythroblastic, Acute
C0023441	Leukemia, Experimental
C0023443	Leukemia, Hairy Cell
C0023448	Leukemia, Lymphocytic
C0023449	Leukemia, Lymphocytic, Acute
C0023452	Leukemia, Lymphocytic, Acute, L1
C0023453	Leukemia, Lymphocytic, Acute, L2
C0023458	Leukemia, Lymphocytic, Chronic
C0023462	Leukemia, Megakaryocytic, Acute
C0023465	Leukemia, Monocytic, Acute
C0023467	Leukemia, Myelocytic, Acute
C0023470	Leukemia, Myeloid
C0023472	Leukemia, Myeloid, Accelerated Phase
C0023473	Leukemia, Myeloid, Chronic
C0023474	Leukemia, Myeloid, Chronic-Phase
C0023479	Leukemia, Myelomonocytic, Acute
C0023480	Leukemia, Myelomonocytic, Chronic
C0023482	Leukemia, Nonlymphocytic, Acute
C0023485	Leukemia, Pre-B-Cell
C0023487	Leukemia, Promyelocytic, Acute
C0023493	Leukemia, T-Cell, Acute
C0023518	Leukocytosis
C0023522	Leukodystrophy, Metachromatic
C0023529	Leukomalacia, Periventricular
C0023530	Leukopenia
C0023531	Leukoplakia
C0023532	Leukoplakia, Oral
C0023618	Libido
C0023646	Lichen Planus
C0023772	Lipid Metabolism, Inborn Errors
C0023786	Mucopolysaccharidosis I
C0023787	Lipodystrophy
C0023788	Whipple Disease
C0023794	Lipidoses
C0023817	Hyperlipoproteinemia Type I
C0023827	liposarcoma
C0023860	Listeriosis
C0023869	Lithiasis
C0023885	Liver Abscess
C0023886	Liver Abscess, Amebic
C0023890	Liver Cirrhosis
C0023891	Liver Cirrhosis, Alcoholic
C0023892	Liver Cirrhosis, Biliary
C0023895	Liver Diseases
C0023896	Liver Diseases, Alcoholic
C0023903	Liver Neoplasms
C0023968	Loiasis
C0023976	Long QT Syndrome
C0024021	Loudness Perception
C0024031	Low Back Pain
C0024110	Lung Abscess
C0024115	Lung Diseases
C0024116	Lung Diseases, Fungal
C0024117	Pulmonary Disease, Chronic Obstructive
C0024121	Lung Neoplasms
C0024137	Lupus Erythematosus, Cutaneous
C0024138	Lupus Erythematosus, Discoid
C0024141	Lupus Erythematosus, Systemic
C0024143	Lupus Nephritis
C0024198	Lyme Disease
C0024205	Lymphadenitis
C0024214	Lymphangiectasis
C0024228	Lymphatic Diseases
C0024232	Lymphatic Metastasis
C0024236	Lymphedema
C0024282	Lymphocytosis
C0024286	Lymphogranuloma Venereum
C0024291	Lymphohistiocytosis, Hemophagocytic
C0024299	Lymphoma
C0024301	Lymphoma, Follicular
C0024302	Lymphoma, Large-Cell
C0024305	Lymphoma, Non-Hodgkin
C0024312	Lymphopenia
C0024314	Lymphoproliferative Disorders
C0024408	Machado-Joseph Disease
C0024419	Waldenstrom Macroglobulinemia
C0024437	Macular Degeneration
C0024440	Macular Edema, Cystoid
C0024449	Maduromycosis
C0024530	Malaria
C0024534	Malaria, Cerebral
C0024535	Malaria, Falciparum
C0024536	Quartan malaria
C0024537	Malaria, Vivax
C0024586	Malignant Carcinoid Syndrome
C0024588	Malignant essential hypertension
C0024591	Malignant Hyperthermia
C0024623	Malignant neoplasm of stomach
C0024689	Mandibular Diseases
C0024694	Mandibular Neoplasms
C0024720	Manifest Anxiety Scale
C0024776	Maple Syrup Urine Disease
C0024790	Paroxysmal nocturnal hemoglobinuria
C0024796	Marfan Syndrome
C0024809	Marijuana Abuse
C0024899	Mastocytosis
C0024950	Maxillary Diseases
C0024954	Maxillary Neoplasms
C0024959	Maxillary Sinusitis
C0025007	Measles
C0025048	Meconium Aspiration Syndrome
C0025063	Mediastinal Neoplasms
C0025149	Medulloblastoma
C0025202	Melanoma
C0025209	Melanosis
C0025218	Chloasma
C0025260	Memory
C0025261	Memory Disorders
C0025265	Memory, Short-Term
C0025267	Multiple Endocrine Neoplasia Type 1
C0025268	Multiple Endocrine Neoplasia Type 2a
C0025269	Multiple Endocrine Neoplasia Type 2b
C0025281	Meniere's Disease
C0025284	Meningeal Neoplasms
C0025286	Meningioma
C0025289	Meningitis
C0025293	Meningitis, Listeria
C0025294	Meningitis, Meningococcal
C0025295	Meningitis, Pneumococcal
C0025303	Meningococcal Infections
C0025306	Meningococcemia
C0025312	Meningomyelocele
C0025322	Menopause, Premature
C0025323	Menorrhagia
C0025345	Menstruation Disturbances
C0025353	Mental Health
C0025355	Mental Health Services
C0025361	Mental Processes
C0025362	Mental Retardation
C0025364	Mental Status Schedule
C0025472	Mesenteric Vascular Occlusion
C0025500	Mesothelioma
C0025517	Metabolic Diseases
C0025521	Metabolism, Inborn Errors
C0025534	Metal Metabolism, Inborn Errors
C0025568	Metaplasia
C0025874	Metrorrhagia
C0025958	Microcephaly
C0026010	Microphthalmos
C0026205	Miosis
C0026266	Mitral Valve Insufficiency
C0026267	Mitral Valve Prolapse
C0026269	Mitral Valve Stenosis
C0026272	Mixed Connective Tissue Disease
C0026277	Adenoma, Pleomorphic
C0026320	MMPI
C0026499	Monosomy
C0026603	Motion Sickness
C0026612	Motor Skills
C0026613	Motor Skills Disorders
C0026618	Fluorosis, Dental
C0026633	Mouth Abnormalities
C0026636	Mouth Diseases
C0026640	Mouth Neoplasms
C0026644	Mouth, Edentulous
C0026650	Movement Disorders
C0026654	Moyamoya Disease
C0026691	Mucocutaneous Lymph Node Syndrome
C0026697	Mucolipidoses
C0026705	Mucopolysaccharidosis II
C0026709	Mucopolysaccharidosis VI
C0026718	Mucormycosis
C0026764	Multiple Myeloma
C0026766	Multiple Organ Failure
C0026769	Multiple Sclerosis
C0026771	Multiple Trauma
C0026780	Mumps
C0026827	Muscle Hypotonia
C0026837	Muscle Rigidity
C0026838	Muscle Spasticity
C0026846	Muscular Atrophy
C0026847	Muscular Atrophy, Spinal
C0026848	Muscular Diseases
C0026850	Muscular Dystrophies
C0026857	Musculoskeletal Diseases
C0026884	Mutism
C0026896	Myasthenia Gravis
C0026916	Mycobacterium avium-intracellulare Infection
C0026918	Mycobacterium Infections
C0026919	Mycobacterium Infections, Atypical
C0026936	Mycoplasma Infections
C0026946	Mycoses
C0026948	Mycosis Fungoides
C0026961	Mydriasis
C0026975	Myelitis
C0026976	Myelitis, Transverse
C0026986	Myelodysplastic Syndromes
C0026987	Myelofibrosis
C0027022	Myeloproliferative Disorders
C0027051	Myocardial Infarction
C0027055	Myocardial Reperfusion Injury
C0027059	Myocarditis
C0027066	Myoclonus
C0027086	Myoma
C0027092	Myopia
C0027121	Myositis
C0027126	Myotonic Dystrophy
C0027145	Myxedema
C0027149	Myxoma
C0027339	Nail Diseases
C0027404	Narcolepsy
C0027412	Opioid-Related Disorders
C0027424	Nasal congestion (finding)
C0027429	Nasal Obstruction
C0027430	Nasal Polyps
C0027439	Nasopharyngeal Neoplasms
C0027441	Nasopharyngitis
C0027497	Nausea
C0027498	Nausea and vomiting
C0027540	Necrosis
C0027625	Neoplasm Circulating Cells
C0027626	Neoplasm Invasiveness
C0027627	Neoplasm Metastasis
C0027643	Neoplasm Recurrence, Local
C0027645	Neoplasm Seeding
C0027651	Neoplasms
C0027659	Neoplasms, Experimental
C0027661	Neoplasms, Hormone-Dependent
C0027662	Multiple Endocrine Neoplasia
C0027663	Neoplasms, Multiple Primary
C0027665	Neoplasms, Nerve Tissue
C0027666	Neoplasms, Radiation-Induced
C0027671	Neoplastic Processes
C0027672	Neoplastic Syndromes, Hereditary
C0027686	Neovascularization, Pathologic
C0027697	Nephritis
C0027706	Nephritis, Hereditary
C0027707	Nephritis, Interstitial
C0027708	Wilms Tumor
C0027709	Nephrocalcinosis
C0027719	Nephrosclerosis
C0027720	Nephrosis
C0027721	Nephrosis, Lipoid
C0027726	Nephrotic Syndrome
C0027746	Nerve Degeneration
C0027765	Nervous System Diseases
C0027766	Nervous System Neoplasms
C0027773	Nesidioblastosis
C0027794	Neural Tube Defects
C0027796	Neuralgia
C0027809	Neurilemmoma
C0027819	Neuroblastoma
C0027822	Neurodermatitis
C0027830	Neurofibroma
C0027831	Neurofibromatosis 1
C0027832	Neurofibromatosis 2
C0027849	Neuroleptic Malignant Syndrome
C0027859	Neuroma, Acoustic
C0027868	Neuromuscular Diseases
C0027873	Neuromyelitis Optica
C0027888	Hereditary Motor and Sensory Neuropathies
C0027889	Hereditary Sensory and Autonomic Neuropathies
C0027902	Neuropsychological Tests
C0027927	Neurosyphilis
C0027932	Neurotic Disorders
C0027947	Neutropenia
C0027960	Nevus
C0027962	Nevus, Pigmented
C0028043	Nicotine Dependence
C0028077	Night Blindness
C0028242	Nocardia Infections
C0028303	Nondisjunction, Genetic
C0028326	Noonan Syndrome
C0028433	Nose Neoplasms
C0028709	Nutrition Disorders
C0028734	Nocturia
C0028754	Obesity
C0028756	Obesity, Morbid
C0028758	Object Attachment
C0028768	Obsessive-Compulsive Disorder
C0028796	Dermatitis, Occupational
C0028797	Occupational Diseases
C0028840	Ocular Hypertension
C0028850	Ocular Motility Disorders
C0028880	Odontogenic Tumors
C0028945	Oligodendroglioma
C0028949	Oligomenorrhea
C0028960	Oligospermia
C0028968	Olivopontocerebellar Atrophies
C0029001	Onchocerciasis
C0029076	Ophthalmia Neonatorum
C0029077	Ophthalmia, Sympathetic
C0029089	Ophthalmoplegia
C0029104	Opioid withdrawal
C0029106	Opisthorchiasis
C0029118	Opportunistic Infections
C0029124	Optic Atrophy
C0029125	Optic Atrophies, Hereditary
C0029128	Optic Disk Drusen
C0029132	Optic Nerve Diseases
C0029134	Optic Neuritis
C0029172	Oral Submucous Fibrosis
C0029182	Orbital Diseases
C0029227	Delirium, Dementia, Amnestic, Cognitive Disorders
C0029266	Orientation
C0029291	Psittacosis
C0029295	Oropharyngeal Neoplasms
C0029396	Heterotopic Ossification
C0029401	Osteitis Deformans
C0029408	Osteoarthritis
C0029410	Osteoarthritis, Hip
C0029422	Osteochondrodysplasias
C0029434	Osteogenesis Imperfecta
C0029435	Osteolysis
C0029440	Osteoma
C0029442	Osteomalacia
C0029443	Osteomyelitis
C0029445	Osteonecrosis
C0029454	Osteopetrosis
C0029456	Osteoporosis
C0029458	Osteoporosis, Postmenopausal
C0029463	Osteosarcoma
C0029878	Otitis Externa
C0029882	Otitis Media
C0029883	Otitis Media with Effusion
C0029897	Otorhinolaryngologic Neoplasms
C0029899	Otosclerosis
C0029927	Ovarian Cysts
C0029928	Ovarian Diseases
C0029941	Brief Psychiatric Rating Scale
C0029944	Overdose
C0030193	Pain
C0030200	Pain, Intractable
C0030201	Pain, Postoperative
C0030210	Paired-Associate Learning
C0030283	Pancreatic Cyst
C0030286	Pancreatic Diseases
C0030297	Pancreatic Neoplasms
C0030299	Pancreatic Pseudocyst
C0030305	Pancreatitis
C0030312	Pancytopenia
C0030319	Panic Disorder
C0030343	Panuveitis
C0030354	Papilloma
C0030409	Paracoccidioidomycosis
C0030421	Paraganglioma
C0030422	Paraganglioma, Extra-Adrenal
C0030443	Paralyses, Familial Periodic
C0030446	Paralytic Ileus
C0030469	Paranasal Sinus Diseases
C0030481	Paraparesis, Tropical Spastic
C0030486	Paraplegia
C0030489	Paraproteinemias
C0030491	Parapsoriasis
C0030492	Parapsychology
C0030499	Parasitic Diseases
C0030521	Parathyroid Neoplasms
C0030528	Paratyphoid Fever
C0030567	Parkinson Disease
C0030568	Parkinson Disease, Postencephalitic
C0030569	Parkinson Disease, Secondary
C0030578	Paronychia Inflammation
C0030590	Paroxysmal supraventricular tachycardia
C0030593	Pars Planitis
C0030618	Parvoviridae Infections
C0030636	Pasteurella Infections
C0030709	Pattern Recognition, Visual
C0030757	Pediculus capitis infestation
C0030758	Body louse infestation
C0030759	Infestation by Phthirus pubis
C0030783	Pellagra
C0030785	Pelvic abscess
C0030794	Pelvic Pain
C0030804	Pemphigoid, Benign Mucous Membrane
C0030805	Pemphigoid, Bullous
C0030807	Pemphigus
C0030848	Penile Induration
C0030849	Penile Neoplasms
C0030920	Peptic Ulcer
C0030922	Peptic Ulcer Hemorrhage
C0030971	Perception
C0030975	Perceptual Disorders
C0031030	Periapical Periodontitis
C0031036	Polyarteritis Nodosa
C0031046	Pericarditis
C0031069	Familial Mediterranean Fever
C0031090	Periodontal Diseases
C0031094	Periodontal Pocket
C0031099	Periodontitis
C0031106	Periodontitis, Juvenile
C0031117	Peripheral Nervous System Diseases
C0031142	Peritoneal Diseases
C0031149	Peritoneal Neoplasms
C0031154	Peritonitis
C0031190	Persistent Fetal Circulation Syndrome
C0031209	Personality Assessment
C0031212	Personality Disorders
C0031213	Personality Inventory
C0031214	Personality Tests
C0031269	Peutz-Jeghers Syndrome
C0031345	Pharyngeal Diseases
C0031347	Pharyngeal Neoplasms
C0031350	Pharyngitis
C0031485	Phenylketonurias
C0031511	Pheochromocytoma
C0031526	Philadelphia Chromosome
C0031542	Phlebitis
C0031572	Phobia, Social
C0031762	Photosensitivity Disorders
C0031887	Picornaviridae Infections
C0031946	Pinta
C0032002	Pituitary Diseases
C0032019	Pituitary Neoplasms
C0032026	Pityriasis Rosea
C0032045	Placenta Diseases
C0032051	Placental Insufficiency
C0032064	Plague
C0032131	Plasmacytoma
C0032209	Platybasia
C0032229	Pleural Neoplasms
C0032269	Pneumococcal Infections
C0032273	Pneumoconiosis
C0032285	Pneumonia
C0032290	Aspiration Pneumonia
C0032300	Pneumonia, Pneumococcal
C0032302	Pneumonia, Mycoplasma
C0032305	Pneumonia, Pneumocystis
C0032308	Staphylococcal Pneumonia
C0032310	Pneumonia, Viral
C0032326	Pneumothorax
C0032343	Poisoning
C0032344	Poisoning
C0032371	Poliomyelitis
C0032460	Polycystic Ovary Syndrome
C0032461	Polycythemia
C0032463	Polycythemia Vera
C0032533	Polymyalgia Rheumatica
C0032580	Adenomatous Polyposis Coli
C0032584	Polyps
C0032587	Polyradiculoneuropathy
C0032708	Porphyrias
C0032768	Postherpetic neuralgia
C0032780	Postmortem Changes
C0032787	Postoperative Complications
C0032788	Postoperative Hemorrhage
C0032797	Postpartum Hemorrhage
C0032807	Postphlebitic Syndrome
C0032897	Prader-Willi Syndrome
C0032914	Pre-Eclampsia
C0032927	Precancerous Conditions
C0032962	Pregnancy Complications
C0032963	Pregnancy Complications, Cardiovascular
C0032964	Pregnancy Complications, Hematologic
C0032965	Pregnancy Complications, Infectious
C0032966	Pregnancy Complications, Neoplastic
C0032969	Pregnancy in Diabetics
C0032987	Pregnancy, Ectopic
C0033038	Premature Ejaculation
C0033046	Premenstrual Syndrome
C0033054	Prenatal Exposure Delayed Effects
C0033074	Presbycusis
C0033117	Priapism
C0033205	Probability Learning
C0033211	Problem Solving
C0033246	Proctitis
C0033324	Prognathism
C0033375	Prolactinoma
C0033575	Prostatic Diseases
C0033578	Prostatic Neoplasms
C0033581	Prostatitis
C0033586	Prosthesis Failure
C0033626	Protein Deficiency
C0033677	Protein-Energy Malnutrition
C0033687	Proteinuria
C0033771	Prurigo
C0033774	Pruritus
C0033775	Pruritus Ani
C0033777	Pruritus of genital organs
C0033805	Pseudohypoaldosteronism
C0033806	Pseudohypoparathyroidism
C0033817	Pseudomonas Infections
C0033845	Pseudotumor Cerebri
C0033847	Pseudoxanthoma Elasticum
C0033860	Psoriasis
C0033871	Psychiatric Status Rating Scales
C0033873	Psychiatry
C0033877	Psychoacoustics
C0033893	Tension-Type Headache
C0033905	Psychological Tests
C0033909	Psychology
C0033920	Psychometrics
C0033922	Psychomotor Disorders
C0033923	Psychomotor Performance
C0033924	Psychoneuroimmunology
C0033927	Psychopathology
C0033929	Psychopharmacology
C0033931	Psychophysiologic Disorders
C0033936	Psychoses, Alcoholic
C0033941	Psychoses, Substance-Induced
C0033944	Psychosexual Development
C0033953	Sexual Dysfunctions, Psychological
C0033968	Psychotherapy
C0033970	Psychotherapy, Brief
C0033975	Psychotic Disorders
C0033998	Pterygium
C0034012	Puberty, Delayed
C0034013	Puberty, Precocious
C0034040	Puerperal Disorders
C0034063	Pulmonary Edema
C0034065	Pulmonary Embolism
C0034067	Pulmonary Emphysema
C0034068	Pulmonary Eosinophilia
C0034069	Pulmonary Fibrosis
C0034072	Pulmonary Heart Disease
C0034089	Pulmonary Valve Stenosis
C0034152	Purpura, Schoenlein-Henoch
C0034155	Purpura, Thrombotic Thrombocytopenic
C0034186	Pyelonephritis
C0034362	Q Fever
C0034365	Q-Sort
C0034530	Radiation Injuries
C0034561	Radiodermatitis
C0034628	Radius Fractures
C0034686	Rat-Bite Fever
C0034734	Raynaud Disease
C0034746	Reaction Time
C0034770	Mental Recall
C0034884	Rectal Fistula
C0034885	Rectal Neoplasms
C0034886	Rectal pain
C0034888	Rectal Prolapse
C0034897	Recurrence
C0034929	Reflex
C0034931	Reflex Sympathetic Dystrophy
C0034951	Refractive Errors
C0035007	Reinforcement (Psychology)
C0035008	Reinforcement Schedule
C0035021	Relapsing Fever
C0035066	Renal Artery Obstruction
C0035078	Kidney Failure
C0035086	Renal Osteodystrophy
C0035091	Renal Tubular Transport, Inborn Errors
C0035126	Reperfusion Injury
C0035127	Cumulative Trauma Disorders
C0035204	Respiration Disorders
C0035220	Respiratory Distress Syndrome, Newborn
C0035222	Respiratory Distress Syndrome, Adult
C0035228	Respiratory Hypersensitivity
C0035229	Respiratory Insufficiency
C0035234	Respiratory Sounds
C0035235	Respiratory Syncytial Virus Infections
C0035242	Respiratory Tract Diseases
C0035243	Respiratory Tract Infections
C0035244	Respiratory Tract Neoplasms
C0035258	Restless Legs Syndrome
C0035302	Retinal Artery Occlusion
C0035304	Retinal Degeneration
C0035305	Retinal Detachment
C0035309	Retinal Diseases
C0035312	Retinal Drusen
C0035320	Retinal Neovascularization
C0035328	Retinal Vein Occlusion
C0035334	Retinitis Pigmentosa
C0035335	Retinoblastoma
C0035344	Retinopathy of Prematurity
C0035357	Retroperitoneal Fibrosis
C0035369	Retroviridae Infections
C0035372	Rett Syndrome
C0035397	Reward
C0035404	Rh Isoimmunization
C0035410	Rhabdomyolysis
C0035412	Rhabdomyosarcoma
C0035435	Rheumatic Diseases
C0035436	Rheumatic Fever
C0035439	Rheumatic Heart Disease
C0035441	Rheumatic Nodule
C0035450	Rheumatoid Nodule
C0035455	Rhinitis
C0035457	Rhinitis, Allergic, Perennial
C0035460	Rhinitis, Vasomotor
C0035468	Rhinoscleroma
C0035579	Rickets
C0035585	Rickettsia Infections
C0035597	Rickettsialpox
C0035793	Rocky Mountain Spotted Fever
C0035828	Romano-Ward Syndrome
C0035851	Root Resorption
C0035854	Rosacea
C0035920	Rubella
C0035934	Rubinstein-Taybi Syndrome
C0035955	Rupture
C0035956	Rupture, Spontaneous
C0036093	Salivary Gland Diseases
C0036095	Salivary Gland Neoplasms
C0036117	Salmonella Infections
C0036130	Salpingitis
C0036161	Sandhoff Disease
C0036202	Sarcoidosis
C0036205	Sarcoidosis, Pulmonary
C0036220	Sarcoma, Kaposi
C0036239	Satiation
C0036240	Satiety Response
C0036262	Scabies <infestation>
C0036271	Scalp Dermatoses
C0036285	Scarlet Fever
C0036323	Schistosomiasis
C0036329	Schistosomiasis japonica
C0036330	Schistosomiasis mansoni
C0036337	Schizoaffective Disorder
C0036339	Schizoid Personality Disorder
C0036341	Schizophrenia
C0036347	Schizophrenia, Disorganized
C0036349	Schizophrenia, Paranoid
C0036357	Schizophrenic Psychology
C0036363	Schizotypal Personality Disorder
C0036396	Sciatica
C0036421	Scleroderma, Systemic
C0036429	Sclerosis
C0036439	Scoliosis
C0036472	Scrub Typhus
C0036502	Sebaceous Gland Diseases
C0036508	Seborrheic dermatitis
C0036572	Seizures
C0036631	Seminoma
C0036651	Senile lentigo
C0036658	Sensation
C0036659	Sensation Disorders
C0036677	Sensory Thresholds
C0036717	Serial Learning
C0036769	Sertoli Cell Tumor
C0036830	Serum Sickness
C0036849	Set (Psychology)
C0036868	Sex Chromosome Aberrations
C0036916	Sexually Transmitted Diseases
C0036918	Sexually Transmitted Diseases, Viral
C0036974	Shock
C0036980	Shock, Cardiogenic
C0036983	Shock, Septic
C0036992	Short Bowel Syndrome
C0037005	Shoulder Dislocation
C0037006	Shoulder Fractures
C0037036	Sialorrhea
C0037052	Sick Sinus Syndrome
C0037054	Sickle Cell Trait
C0037061	Siderosis
C0037073	Sigmoid Neoplasms
C0037116	Silicosis
C0037195	Sinus headache
C0037198	Sinus Thrombosis, Intracranial
C0037199	Sinusitis
C0037268	Skin Abnormalities
C0037274	Skin Diseases
C0037275	Skin Diseases, Vesiculobullous
C0037277	Skin Diseases, Genetic
C0037280	Skin Diseases, Parasitic
C0037286	Skin Neoplasms
C0037299	Skin Ulcer
C0037304	Skull Fractures
C0037313	Sleep
C0037315	Sleep Apnea Syndromes
C0037316	Sleep Deprivation
C0037319	Sleep Stages
C0037322	Sleep, REM
C0037361	Smell
C0037367	Smoke Inhalation Injury
C0037383	Sneezing
C0037427	Social Perception
C0037578	Soft Tissue Injuries
C0037579	Soft Tissue Neoplasms
C0037650	Somatoform Disorders
C0037672	Somnambulism
C0037744	Space Perception
C0037769	Spasms, Infantile
C0037771	Paraparesis, Spastic
C0037773	Spastic Paraplegia, Hereditary
C0037822	Speech Disorders
C0037826	Speech Perception
C0037889	Spherocytosis, Hereditary
C0037917	Spina Bifida Cystica
C0037928	Spinal Cord Diseases
C0037933	Spinal Diseases
C0037937	Spinal Injuries
C0037942	Spinal Osteophytosis
C0037952	Spinocerebellar Degenerations
C0037999	Splenic Neoplasms
C0038002	Splenomegaly
C0038012	Spondylitis
C0038013	Spondylitis, Ankylosing
C0038016	Spondylolisthesis
C0038019	Spondylosis
C0038048	Sprains and Strains
C0038157	Staphylococcal enterocolitis
C0038160	Staphylococcal Infections
C0038166	Staphylococcal Skin Infections
C0038186	Startle Reaction
C0038187	Starvation
C0038218	Status Asthmaticus
C0038220	Status Epilepticus
C0038238	Steatorrhea
C0038273	Stereotypic Movement Disorder
C0038325	Stevens-Johnson Syndrome
C0038354	Stomach Diseases
C0038356	Stomach Neoplasms
C0038358	Stomach Ulcer
C0038362	Stomatitis
C0038363	Stomatitis, Aphthous
C0038366	Stomatitis, Herpetic
C0038395	Streptococcal Infections
C0038435	Stress
C0038436	Stress Disorders, Post-Traumatic
C0038437	Female stress incontinence
C0038441	Stress Disorders, Traumatic
C0038443	Stress, Psychological
C0038454	Cerebrovascular Accident
C0038463	Strongyloidiasis
C0038506	Stuttering
C0038522	Subacute Sclerosing Panencephalitis
C0038525	Subarachnoid Hemorrhage
C0038538	Subdural Effusion
C0038579	Substance Abuse, Intravenous
C0038587	Substance Withdrawal Syndrome
C0038644	Sudden Infant Death
C0038814	Sunburn
C0038868	Supranuclear Palsy, Progressive
C0038874	Supratentorial Neoplasms
C0038941	Surgical Wound Infection
C0038986	Sweat Gland Diseases
C0039070	Syncope
C0039075	Syndactyly
C0039082	Syndrome
C0039101	Sarcoma, Synovial
C0039103	Synovitis
C0039128	Syphilis
C0039131	Syphilis, Congenital
C0039133	Syphilis, Latent
C0039231	Tachycardia
C0039239	Tachycardia, Sinus
C0039240	Tachycardia, Supraventricular
C0039254	Teniasis
C0039263	Takayasu's Arteritis
C0039292	Tangier Disease
C0039334	Task Performance and Analysis
C0039338	Taste Disorders
C0039339	Taste Threshold
C0039373	Tay-Sachs Disease
C0039445	Telangiectasia, Hereditary Hemorrhagic
C0039446	Telangiectasis
C0039478	Temperature Sense
C0039483	Temporal Arteritis
C0039494	Temporomandibular Joint Disorders
C0039503	Tendinitis
C0039520	Tenosynovitis
C0039584	Testicular Diseases
C0039585	Androgen-Insensitivity Syndrome
C0039590	Testicular Neoplasms
C0039614	Tetanus
C0039621	Tetany
C0039685	Tetralogy_of_Fallot
C0039730	Thalassemia
C0039743	Thanatophoric Dysplasia
C0039841	Thiamine Deficiency
C0039869	Thinking
C0039870	Thinness
C0039981	Thoracic Neoplasms
C0040015	Thrombasthenia
C0040021	Thromboangiitis Obliterans
C0040028	Thrombocythemia, Hemorrhagic
C0040034	Thrombocytopenia
C0040038	Thromboembolism
C0040046	Thrombophlebitis
C0040053	Thrombosis
C0040100	Thymoma
C0040115	Thymus Hyperplasia
C0040116	Thymus Neoplasms
C0040127	Thyroid Crisis
C0040128	Thyroid Diseases
C0040136	Thyroid Neoplasms
C0040137	Thyroid Nodule
C0040147	Thyroiditis
C0040149	Thyroiditis, Subacute
C0040156	Thyrotoxicosis
C0040188	Tic Disorders
C0040226	Time Perception
C0040247	Tinea
C0040250	Tinea Capitis
C0040252	Tinea corporis (disorder)
C0040259	Tinea Pedis
C0040261	Onychomycosis
C0040262	Tinea Versicolor
C0040264	Tinnitus
